year,c2f6,c6f14,nitrousOxide,c3f8,c7f16,methane,sf6,c4f10,c8f18,methylBromide,c4f8,carbonTetraChloride,methylChloride,c5f12,co2,nf3
32,0.0,0.0,267.282824331769,0.0,0.0,655.856030597149,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.293,0.0
33,0.0,0.0,267.282824331769,0.0,0.0,655.9620183463591,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.291,0.0
34,0.0,0.0,267.282824331769,0.0,0.0,656.060024068086,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.295,0.0
35,0.0,0.0,267.282824331769,0.0,0.0,656.170023702304,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.3,0.0
36,0.0,0.0,267.282824331769,0.0,0.0,656.2890213666391,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.305,0.0
37,0.0,0.0,267.282824331769,0.0,0.0,656.397020306748,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.311,0.0
38,0.0,0.0,267.282824331769,0.0,0.0,656.5010263264151,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.316,0.0
39,0.0,0.0,267.282824331769,0.0,0.0,656.623020186046,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.318,0.0
40,0.0,0.0,267.282824331769,0.0,0.0,656.7380241876821,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.325,0.0
41,0.0,0.0,267.282824331769,0.0,0.0,656.852018688915,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.33,0.0
42,0.0,0.0,267.282824331769,0.0,0.0,656.956026762162,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.334,0.0
43,0.0,0.0,267.282824331769,0.0,0.0,657.06901492103,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.337,0.0
44,0.0,0.0,267.282824331769,0.0,0.0,657.1580285527459,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.341,0.0
45,0.0,0.0,267.282824331769,0.0,0.0,657.264012886903,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.343,0.0
46,0.0,0.0,267.282824331769,0.0,0.0,657.333025459687,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.348,0.0
47,0.0,0.0,267.282824331769,0.0,0.0,657.428026013885,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.351,0.0
48,0.0,0.0,267.282824331769,0.0,0.0,657.551020760889,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.353,0.0
49,0.0,0.0,267.282824331769,0.0,0.0,657.6660225466201,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.36,0.0
50,0.0,0.0,267.282824331769,0.0,0.0,657.7770215004509,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.362,0.0
